State ,State_Name,Region,County,State_Code,County_Code,Year_Span,Year,Measure_Name,Measure_Id,  Number_Of_Cases  ,  Population  ,   Number_Of_Cases_Per 100K_People   ,Confidence Interval Lower Bound,Confidence Interval Upper Bound,Data Release Year,fipscode
AZ,Arizona,West,Arizona,4,0,2006,2006,Unemployment,23,"121,196","2,957,833"," 4,097 ",Uknown,Uknown,Uknown,4000
AZ,Arizona,West,Arizona,4,0,2007,2007,Unemployment,23,"111,609","3,009,744"," 3,708 ",Uknown,Uknown,Uknown,4000
AZ,Arizona,West,Arizona,4,0,2008,2008,Unemployment,23,"184,528","3,097,447"," 5,957 ",Uknown,Uknown,2010,4000
AZ,Arizona,West,Arizona,4,0,2009,2009,Unemployment,23,"309,139","3,127,529"," 9,884 ",Uknown,Uknown,2011,4000
AZ,Arizona,West,Arizona,4,0,2010,2010,Unemployment,23,"325,486","3,100,255"," 10,499 ",Uknown,Uknown,2012,4000
AZ,Arizona,West,Arizona,4,0,2011,2011,Unemployment,23,"287,630","3,034,264"," 9,479 ",Uknown,Uknown,2013,4000
AZ,Arizona,West,Arizona,4,0,2012,2012,Unemployment,23,"251,660","3,030,239"," 8,305 ",Uknown,Uknown,2014,4000
AR,Arkansas,South,Arkansas,5,0,2002,2002,Unemployment,23,"67,900","1,272,369"," 5,337 ",Uknown,Uknown,Uknown,5000
AR,Arkansas,South,Arkansas,5,0,2003,2003,Unemployment,23,"73,903","1,269,846"," 5,820 ",Uknown,Uknown,Uknown,5000
AR,Arkansas,South,Arkansas,5,0,2004,2004,Unemployment,23,"72,730","1,294,290"," 5,619 ",Uknown,Uknown,Uknown,5000
AR,Arkansas,South,Arkansas,5,0,2005,2005,Unemployment,23,"68,623","1,339,558"," 5,123 ",Uknown,Uknown,Uknown,5000
AR,Arkansas,South,Arkansas,5,0,2006,2006,Unemployment,23,"71,631","1,358,523"," 5,273 ",Uknown,Uknown,Uknown,5000
AR,Arkansas,South,Arkansas,5,0,2007,2007,Unemployment,23,"72,409","1,362,600"," 5,314 ",Uknown,Uknown,Uknown,5000
AR,Arkansas,South,Arkansas,5,0,2008,2008,Unemployment,23,"73,599","1,369,910"," 5,373 ",Uknown,Uknown,2010,5000
AR,Arkansas,South,Arkansas,5,0,2009,2009,Unemployment,23,"102,251","1,357,198"," 7,534 ",Uknown,Uknown,2011,5000
AR,Arkansas,South,Arkansas,5,0,2010,2010,Unemployment,23,"107,714","1,356,633"," 7,940 ",Uknown,Uknown,2012,5000
AR,Arkansas,South,Arkansas,5,0,2011,2011,Unemployment,23,"109,992","1,369,860"," 8,029 ",Uknown,Uknown,2013,5000
AR,Arkansas,South,Arkansas,5,0,2012,2012,Unemployment,23,"98,837","1,355,858"," 7,290 ",Uknown,Uknown,2014,5000
CA,California,West,California,6,0,2002,2002,Unemployment,23,"1,162,785","17,343,585"," 6,704 ",Uknown,Uknown,Uknown,6000
CA,California,West,California,6,0,2003,2003,Unemployment,23,"1,190,603","17,390,668"," 6,846 ",Uknown,Uknown,Uknown,6000
CA,California,West,California,6,0,2004,2004,Unemployment,23,"1,089,658","17,444,439"," 6,246 ",Uknown,Uknown,Uknown,6000
CA,California,West,California,6,0,2005,2005,Unemployment,23,"952,564","17,544,766"," 5,429 ",Uknown,Uknown,Uknown,6000
CA,California,West,California,6,0,2006,2006,Unemployment,23,"865,428","17,686,698"," 4,893 ",Uknown,Uknown,Uknown,6000
CA,California,West,California,6,0,2007,2007,Unemployment,23,"960,303","17,921,040"," 5,359 ",Uknown,Uknown,Uknown,6000
CA,California,West,California,6,0,2008,2008,Unemployment,23,"1,313,057","18,203,079"," 7,213 ",Uknown,Uknown,2010,6000
CA,California,West,California,6,0,2009,2009,Unemployment,23,"2,063,867","18,208,352"," 11,335 ",Uknown,Uknown,2011,6000
CA,California,West,California,6,0,2010,2010,Unemployment,23,"2,264,906","18,316,421"," 12,365 ",Uknown,Uknown,2012,6000
CA,California,West,California,6,0,2011,2011,Unemployment,23,"2,158,332","18,384,891"," 11,740 ",Uknown,Uknown,2013,6000
CA,California,West,California,6,0,2012,2012,Unemployment,23,"1,934,537","18,494,886"," 10,460 ",Uknown,Uknown,2014,6000
CO,Colorado,West,Colorado,8,0,2002,2002,Unemployment,23,"138,628","2,442,738"," 5,675 ",Uknown,Uknown,Uknown,8000
CO,Colorado,West,Colorado,8,0,2003,2003,Unemployment,23,"152,812","2,492,349"," 6,131 ",Uknown,Uknown,Uknown,8000
CO,Colorado,West,Colorado,8,0,2004,2004,Unemployment,23,"142,470","2,535,427"," 5,619 ",Uknown,Uknown,Uknown,8000
CO,Colorado,West,Colorado,8,0,2005,2005,Unemployment,23,"132,609","2,588,388"," 5,123 ",Uknown,Uknown,Uknown,8000
CO,Colorado,West,Colorado,8,0,2006,2006,Unemployment,23,"113,731","2,655,561"," 4,283 ",Uknown,Uknown,Uknown,8000
CO,Colorado,West,Colorado,8,0,2007,2007,Unemployment,23,"101,641","2,685,047"," 3,785 ",Uknown,Uknown,Uknown,8000
CO,Colorado,West,Colorado,8,0,2008,2008,Unemployment,23,"131,077","2,732,137"," 4,798 ",Uknown,Uknown,2010,8000
CO,Colorado,West,Colorado,8,0,2009,2009,Unemployment,23,"222,329","2,736,570"," 8,124 ",Uknown,Uknown,2011,8000
CO,Colorado,West,Colorado,8,0,2010,2010,Unemployment,23,"243,761","2,725,210"," 8,945 ",Uknown,Uknown,2012,8000
CO,Colorado,West,Colorado,8,0,2011,2011,Unemployment,23,"225,729","2,723,033"," 8,290 ",Uknown,Uknown,2013,8000
CO,Colorado,West,Colorado,8,0,2012,2012,Unemployment,23,"219,729","2,743,261"," 8,010 ",Uknown,Uknown,2014,8000
CT,Connecticut,Northest,Connecticut,9,0,2002,2002,Unemployment,23,"78,047","1,778,995"," 4,387 ",Uknown,Uknown,Uknown,9000
CT,Connecticut,Northest,Connecticut,9,0,2003,2003,Unemployment,23,"98,142","1,795,000"," 5,468 ",Uknown,Uknown,Uknown,9000
CT,Connecticut,Northest,Connecticut,9,0,2004,2004,Unemployment,23,"88,222","1,792,090"," 4,923 ",Uknown,Uknown,Uknown,9000
CT,Connecticut,Northest,Connecticut,9,0,2005,2005,Unemployment,23,"88,390","1,806,999"," 4,892 ",Uknown,Uknown,Uknown,9000
CT,Connecticut,Northest,Connecticut,9,0,2006,2006,Unemployment,23,"80,825","1,826,819"," 4,424 ",Uknown,Uknown,Uknown,9000
CT,Connecticut,Northest,Connecticut,9,0,2007,2007,Unemployment,23,"84,816","1,845,688"," 4,595 ",Uknown,Uknown,Uknown,9000
CT,Connecticut,Northest,Connecticut,9,0,2008,2008,Unemployment,23,"105,130","1,871,902"," 5,616 ",Uknown,Uknown,2010,9000
CT,Connecticut,Northest,Connecticut,9,0,2009,2009,Unemployment,23,"155,523","1,895,954"," 8,203 ",Uknown,Uknown,2011,9000
CT,Connecticut,Northest,Connecticut,9,0,2010,2010,Unemployment,23,"178,139","1,916,598"," 9,295 ",Uknown,Uknown,2012,9000
CT,Connecticut,Northest,Connecticut,9,0,2011,2011,Unemployment,23,"168,648","1,918,126"," 8,792 ",Uknown,Uknown,2013,9000
CT,Connecticut,Northest,Connecticut,9,0,2012,2012,Unemployment,23,"157,066","1,879,461"," 8,357 ",Uknown,Uknown,2014,9000
DE,Delaware,South,Delaware,10,0,2002,2002,Unemployment,23,"16,584","417,885"," 3,969 ",Uknown,Uknown,Uknown,10000
DE,Delaware,South,Delaware,10,0,2003,2003,Unemployment,23,"17,557","421,060"," 4,170 ",Uknown,Uknown,Uknown,10000
DE,Delaware,South,Delaware,10,0,2004,2004,Unemployment,23,"16,648","424,914"," 3,918 ",Uknown,Uknown,Uknown,10000
DE,Delaware,South,Delaware,10,0,2005,2005,Unemployment,23,"17,193","434,389"," 3,958 ",Uknown,Uknown,Uknown,10000
DE,Delaware,South,Delaware,10,0,2006,2006,Unemployment,23,"15,507","440,124"," 3,523 ",Uknown,Uknown,Uknown,10000
DE,Delaware,South,Delaware,10,0,2007,2007,Unemployment,23,"15,576","442,841"," 3,517 ",Uknown,Uknown,Uknown,10000
DE,Delaware,South,Delaware,10,0,2008,2008,Unemployment,23,"21,572","445,800"," 4,839 ",Uknown,Uknown,2010,10000
DE,Delaware,South,Delaware,10,0,2009,2009,Unemployment,23,"34,532","439,443"," 7,858 ",Uknown,Uknown,2011,10000
DE,Delaware,South,Delaware,10,0,2010,2010,Unemployment,23,"35,116","436,822"," 8,039 ",Uknown,Uknown,2012,10000
DE,Delaware,South,Delaware,10,0,2011,2011,Unemployment,23,"32,229","439,181"," 7,338 ",Uknown,Uknown,2013,10000
DE,Delaware,South,Delaware,10,0,2012,2012,Unemployment,23,"31,598","444,042"," 7,116 ",Uknown,Uknown,2014,10000
FL,Florida,South,Florida,12,0,2002,2002,Unemployment,23,"462,426","8,124,940"," 5,691 ",Uknown,Uknown,Uknown,12000
FL,Florida,South,Florida,12,0,2003,2003,Unemployment,23,"433,254","8,218,806"," 5,271 ",Uknown,Uknown,Uknown,12000
FL,Florida,South,Florida,12,0,2004,2004,Unemployment,23,"390,634","8,388,838"," 4,657 ",Uknown,Uknown,Uknown,12000
FL,Florida,South,Florida,12,0,2005,2005,Unemployment,23,"329,754","8,635,040"," 3,819 ",Uknown,Uknown,Uknown,12000
FL,Florida,South,Florida,12,0,2006,2006,Unemployment,23,"296,257","8,880,356"," 3,336 ",Uknown,Uknown,Uknown,12000
FL,Florida,South,Florida,12,0,2007,2007,Unemployment,23,"366,751","9,205,778"," 3,984 ",Uknown,Uknown,Uknown,12000
FL,Florida,South,Florida,12,0,2008,2008,Unemployment,23,"577,468","9,224,360"," 6,260 ",Uknown,Uknown,2010,12000
FL,Florida,South,Florida,12,0,2009,2009,Unemployment,23,"939,310","9,066,242"," 10,361 ",Uknown,Uknown,2011,12000
FL,Florida,South,Florida,12,0,2010,2010,Unemployment,23,"1,030,151","9,132,478"," 11,280 ",Uknown,Uknown,2012,12000
FL,Florida,South,Florida,12,0,2011,2011,Unemployment,23,"970,369","9,248,513"," 10,492 ",Uknown,Uknown,2013,12000
FL,Florida,South,Florida,12,0,2012,2012,Unemployment,23,"806,813","9,368,508"," 8,612 ",Uknown,Uknown,2014,12000
GA,Georgia,South,Georgia,13,0,2002,2002,Unemployment,23,"210,026","4,345,418"," 4,833 ",Uknown,Uknown,Uknown,13000
GA,Georgia,South,Georgia,13,0,2003,2003,Unemployment,23,"208,406","4,382,196"," 4,756 ",Uknown,Uknown,Uknown,13000
GA,Georgia,South,Georgia,13,0,2004,2004,Unemployment,23,"211,133","4,460,143"," 4,734 ",Uknown,Uknown,Uknown,13000
GA,Georgia,South,Georgia,13,0,2005,2005,Unemployment,23,"241,082","4,616,266"," 5,222 ",Uknown,Uknown,Uknown,13000
GA,Georgia,South,Georgia,13,0,2006,2006,Unemployment,23,"222,177","4,722,337"," 4,705 ",Uknown,Uknown,Uknown,13000
GA,Georgia,South,Georgia,13,0,2007,2007,Unemployment,23,"223,426","4,811,168"," 4,644 ",Uknown,Uknown,Uknown,13000
GA,Georgia,South,Georgia,13,0,2008,2008,Unemployment,23,"305,110","4,853,487"," 6,286 ",Uknown,Uknown,2010,13000
GA,Georgia,South,Georgia,13,0,2009,2009,Unemployment,23,"466,857","4,745,391"," 9,838 ",Uknown,Uknown,2011,13000
GA,Georgia,South,Georgia,13,0,2010,2010,Unemployment,23,"481,060","4,694,941"," 10,246 ",Uknown,Uknown,2012,13000
GA,Georgia,South,Georgia,13,0,2011,2011,Unemployment,23,"462,936","4,725,120"," 9,797 ",Uknown,Uknown,2013,13000
GA,Georgia,South,Georgia,13,0,2012,2012,Unemployment,23,"434,504","4,806,125"," 9,041 ",Uknown,Uknown,2014,13000
HI,Hawaii,West,Hawaii,15,0,2002,2002,Unemployment,23,"24,584","608,938"," 4,037 ",Uknown,Uknown,Uknown,15000
HI,Hawaii,West,Hawaii,15,0,2003,2003,Unemployment,23,"23,854","616,324"," 3,870 ",Uknown,Uknown,Uknown,15000
HI,Hawaii,West,Hawaii,15,0,2004,2004,Unemployment,23,"19,975","618,151"," 3,231 ",Uknown,Uknown,Uknown,15000
HI,Hawaii,West,Hawaii,15,0,2005,2005,Unemployment,23,"17,249","627,084"," 2,751 ",Uknown,Uknown,Uknown,15000
HI,Hawaii,West,Hawaii,15,0,2006,2006,Unemployment,23,"15,685","633,493"," 2,476 ",Uknown,Uknown,Uknown,15000
HI,Hawaii,West,Hawaii,15,0,2007,2007,Unemployment,23,"17,118","637,225"," 2,686 ",Uknown,Uknown,Uknown,15000
HI,Hawaii,West,Hawaii,15,0,2008,2008,Unemployment,23,"26,394","644,036"," 4,098 ",Uknown,Uknown,2010,15000
HI,Hawaii,West,Hawaii,15,0,2009,2009,Unemployment,23,"44,073","637,933"," 6,909 ",Uknown,Uknown,2011,15000
HI,Hawaii,West,Hawaii,15,0,2010,2010,Unemployment,23,"44,636","649,158"," 6,876 ",Uknown,Uknown,2012,15000
HI,Hawaii,West,Hawaii,15,0,2011,2011,Unemployment,23,"44,241","660,695"," 6,696 ",Uknown,Uknown,2013,15000
HI,Hawaii,West,Hawaii,15,0,2012,2012,Unemployment,23,"37,918","651,585"," 5,819 ",Uknown,Uknown,2014,15000
ID,Idaho,West,Idaho,16,0,2002,2002,Unemployment,23,"37,043","683,189"," 5,422 ",Uknown,Uknown,Uknown,16000
ID,Idaho,West,Idaho,16,0,2003,2003,Unemployment,23,"36,129","688,290"," 5,249 ",Uknown,Uknown,Uknown,16000
ID,Idaho,West,Idaho,16,0,2004,2004,Unemployment,23,"32,050","698,129"," 4,591 ",Uknown,Uknown,Uknown,16000
ID,Idaho,West,Idaho,16,0,2005,2005,Unemployment,23,"26,766","722,196"," 3,706 ",Uknown,Uknown,Uknown,16000
ID,Idaho,West,Idaho,16,0,2006,2006,Unemployment,23,"22,030","740,109"," 2,977 ",Uknown,Uknown,Uknown,16000
ID,Idaho,West,Idaho,16,0,2007,2007,Unemployment,23,"22,268","750,000"," 2,969 ",Uknown,Uknown,Uknown,16000
ID,Idaho,West,Idaho,16,0,2008,2008,Unemployment,23,"35,882","757,759"," 4,735 ",Uknown,Uknown,2010,16000
ID,Idaho,West,Idaho,16,0,2009,2009,Unemployment,23,"55,827","752,209"," 7,422 ",Uknown,Uknown,2011,16000
ID,Idaho,West,Idaho,16,0,2010,2010,Unemployment,23,"66,984","763,500"," 8,773 ",Uknown,Uknown,2012,16000
ID,Idaho,West,Idaho,16,0,2011,2011,Unemployment,23,"67,081","770,645"," 8,705 ",Uknown,Uknown,2013,16000
ID,Idaho,West,Idaho,16,0,2012,2012,Unemployment,23,"54,627","773,310"," 7,064 ",Uknown,Uknown,2014,16000
IL,Illinois,Midwest,Illinois,17,0,2002,2002,Unemployment,23,"417,693","6,387,093"," 6,540 ",Uknown,Uknown,Uknown,17000
IL,Illinois,Midwest,Illinois,17,0,2003,2003,Unemployment,23,"426,448","6,343,283"," 6,723 ",Uknown,Uknown,Uknown,17000
IL,Illinois,Midwest,Illinois,17,0,2004,2004,Unemployment,23,"396,900","6,365,462"," 6,235 ",Uknown,Uknown,Uknown,17000
IL,Illinois,Midwest,Illinois,17,0,2005,2005,Unemployment,23,"370,880","6,404,310"," 5,791 ",Uknown,Uknown,Uknown,17000
IL,Illinois,Midwest,Illinois,17,0,2006,2006,Unemployment,23,"301,483","6,526,582"," 4,619 ",Uknown,Uknown,Uknown,17000
IL,Illinois,Midwest,Illinois,17,0,2007,2007,Unemployment,23,"338,214","6,660,256"," 5,078 ",Uknown,Uknown,Uknown,17000
IL,Illinois,Midwest,Illinois,17,0,2008,2008,Unemployment,23,"424,635","6,667,276"," 6,369 ",Uknown,Uknown,2010,17000
IL,Illinois,Midwest,Illinois,17,0,2009,2009,Unemployment,23,"661,266","6,588,703"," 10,036 ",Uknown,Uknown,2011,17000
IL,Illinois,Midwest,Illinois,17,0,2010,2010,Unemployment,23,"691,915","6,602,663"," 10,479 ",Uknown,Uknown,2012,17000
IL,Illinois,Midwest,Illinois,17,0,2011,2011,Unemployment,23,"640,356","6,565,512"," 9,753 ",Uknown,Uknown,2013,17000
IL,Illinois,Midwest,Illinois,17,0,2012,2012,Unemployment,23,"585,039","6,592,996"," 8,874 ",Uknown,Uknown,2014,17000
IN,Indiana,Midwest,Indiana,18,0,2002,2002,Unemployment,23,"163,261","3,165,781"," 5,157 ",Uknown,Uknown,Uknown,18000
IN,Indiana,Midwest,Indiana,18,0,2003,2003,Unemployment,23,"168,131","3,165,980"," 5,311 ",Uknown,Uknown,Uknown,18000
IN,Indiana,Midwest,Indiana,18,0,2004,2004,Unemployment,23,"167,504","3,165,308"," 5,292 ",Uknown,Uknown,Uknown,18000
IN,Indiana,Midwest,Indiana,18,0,2005,2005,Unemployment,23,"172,057","3,204,173"," 5,370 ",Uknown,Uknown,Uknown,18000
IN,Indiana,Midwest,Indiana,18,0,2006,2006,Unemployment,23,"161,428","3,241,480"," 4,980 ",Uknown,Uknown,Uknown,18000
IN,Indiana,Midwest,Indiana,18,0,2007,2007,Unemployment,23,"148,836","3,230,369"," 4,607 ",Uknown,Uknown,Uknown,18000
IN,Indiana,Midwest,Indiana,18,0,2008,2008,Unemployment,23,"189,782","3,247,278"," 5,844 ",Uknown,Uknown,2010,18000
IN,Indiana,Midwest,Indiana,18,0,2009,2009,Unemployment,23,"332,853","3,207,056"," 10,379 ",Uknown,Uknown,2011,18000
IN,Indiana,Midwest,Indiana,18,0,2010,2010,Unemployment,23,"320,241","3,176,659"," 10,081 ",Uknown,Uknown,2012,18000
IN,Indiana,Midwest,Indiana,18,0,2011,2011,Unemployment,23,"287,181","3,188,271"," 9,007 ",Uknown,Uknown,2013,18000
IN,Indiana,Midwest,Indiana,18,0,2012,2012,Unemployment,23,"263,994","3,149,747"," 8,381 ",Uknown,Uknown,2014,18000
IA,Iowa,Midwest,Iowa,19,0,2002,2002,Unemployment,23,"64,276","1,632,117"," 3,938 ",Uknown,Uknown,Uknown,19000
IA,Iowa,Midwest,Iowa,19,0,2003,2003,Unemployment,23,"70,904","1,608,251"," 4,409 ",Uknown,Uknown,Uknown,19000
IA,Iowa,Midwest,Iowa,19,0,2004,2004,Unemployment,23,"74,748","1,609,748"," 4,643 ",Uknown,Uknown,Uknown,19000
IA,Iowa,Midwest,Iowa,19,0,2005,2005,Unemployment,23,"69,975","1,627,525"," 4,299 ",Uknown,Uknown,Uknown,19000
IA,Iowa,Midwest,Iowa,19,0,2006,2006,Unemployment,23,"61,794","1,656,936"," 3,729 ",Uknown,Uknown,Uknown,19000
IA,Iowa,Midwest,Iowa,19,0,2007,2007,Unemployment,23,"62,794","1,666,426"," 3,768 ",Uknown,Uknown,Uknown,19000
IA,Iowa,Midwest,Iowa,19,0,2008,2008,Unemployment,23,"67,324","1,674,357"," 4,021 ",Uknown,Uknown,2010,19000
IA,Iowa,Midwest,Iowa,19,0,2009,2009,Unemployment,23,"104,021","1,674,300"," 6,213 ",Uknown,Uknown,2011,19000
IA,Iowa,Midwest,Iowa,19,0,2010,2010,Unemployment,23,"104,829","1,669,857"," 6,278 ",Uknown,Uknown,2012,19000
IA,Iowa,Midwest,Iowa,19,0,2011,2011,Unemployment,23,"97,974","1,663,600"," 5,889 ",Uknown,Uknown,2013,19000
IA,Iowa,Midwest,Iowa,19,0,2012,2012,Unemployment,23,"85,722","1,638,549"," 5,232 ",Uknown,Uknown,2014,19000
KS,Kansas,Midwest,Kansas,20,0,2002,2002,Unemployment,23,"73,099","1,424,063"," 5,133 ",Uknown,Uknown,Uknown,20000
KS,Kansas,Midwest,Kansas,20,0,2003,2003,Unemployment,23,"80,600","1,445,391"," 5,576 ",Uknown,Uknown,Uknown,20000
KS,Kansas,Midwest,Kansas,20,0,2004,2004,Unemployment,23,"80,943","1,462,288"," 5,535 ",Uknown,Uknown,Uknown,20000
KS,Kansas,Midwest,Kansas,20,0,2005,2005,Unemployment,23,"74,800","1,465,098"," 5,105 ",Uknown,Uknown,Uknown,20000
KS,Kansas,Midwest,Kansas,20,0,2006,2006,Unemployment,23,"64,461","1,468,399"," 4,390 ",Uknown,Uknown,Uknown,20000
KS,Kansas,Midwest,Kansas,20,0,2007,2007,Unemployment,23,"60,584","1,471,975"," 4,116 ",Uknown,Uknown,Uknown,20000
KS,Kansas,Midwest,Kansas,20,0,2008,2008,Unemployment,23,"65,408","1,480,880"," 4,417 ",Uknown,Uknown,2010,20000
KS,Kansas,Midwest,Kansas,20,0,2009,2009,Unemployment,23,"108,300","1,507,661"," 7,183 ",Uknown,Uknown,2011,20000
KS,Kansas,Midwest,Kansas,20,0,2010,2010,Unemployment,23,"107,684","1,504,897"," 7,156 ",Uknown,Uknown,2012,20000
KS,Kansas,Midwest,Kansas,20,0,2011,2011,Unemployment,23,"100,706","1,505,046"," 6,691 ",Uknown,Uknown,2013,20000
KS,Kansas,Midwest,Kansas,20,0,2012,2012,Unemployment,23,"85,455","1,489,328"," 5,738 ",Uknown,Uknown,2014,20000
KY,Kentucky,South,Kentucky,21,0,2002,2002,Unemployment,23,"111,977","1,950,477"," 5,741 ",Uknown,Uknown,Uknown,21000
KY,Kentucky,South,Kentucky,21,0,2003,2003,Unemployment,23,"123,697","1,971,760"," 6,273 ",Uknown,Uknown,Uknown,21000
KY,Kentucky,South,Kentucky,21,0,2004,2004,Unemployment,23,"109,158","1,963,863"," 5,558 ",Uknown,Uknown,Uknown,21000
KY,Kentucky,South,Kentucky,21,0,2005,2005,Unemployment,23,"120,770","1,996,284"," 6,050 ",Uknown,Uknown,Uknown,21000
KY,Kentucky,South,Kentucky,21,0,2006,2006,Unemployment,23,"119,671","2,024,148"," 5,912 ",Uknown,Uknown,Uknown,21000
KY,Kentucky,South,Kentucky,21,0,2007,2007,Unemployment,23,"115,024","2,038,757"," 5,642 ",Uknown,Uknown,Uknown,21000
KY,Kentucky,South,Kentucky,21,0,2008,2008,Unemployment,23,"134,440","2,037,960"," 6,597 ",Uknown,Uknown,2010,21000
KY,Kentucky,South,Kentucky,21,0,2009,2009,Unemployment,23,"211,851","2,056,010"," 10,304 ",Uknown,Uknown,2011,21000
KY,Kentucky,South,Kentucky,21,0,2010,2010,Unemployment,23,"210,780","2,060,191"," 10,231 ",Uknown,Uknown,2012,21000
KY,Kentucky,South,Kentucky,21,0,2011,2011,Unemployment,23,"196,987","2,067,536"," 9,528 ",Uknown,Uknown,2013,21000
KY,Kentucky,South,Kentucky,21,0,2012,2012,Unemployment,23,"170,932","2,074,816"," 8,238 ",Uknown,Uknown,2014,21000
LA,Louisiana,South,Louisiana,22,0,2002,2002,Unemployment,23,"118,216","2,010,855"," 5,879 ",Uknown,Uknown,Uknown,22000
LA,Louisiana,South,Louisiana,22,0,2003,2003,Unemployment,23,"125,444","2,024,274"," 6,197 ",Uknown,Uknown,Uknown,22000
LA,Louisiana,South,Louisiana,22,0,2004,2004,Unemployment,23,"112,501","2,040,968"," 5,512 ",Uknown,Uknown,Uknown,22000
LA,Louisiana,South,Louisiana,22,0,2005,2005,Unemployment,23,"95,742","1,488,638"," 6,432 ",Uknown,Uknown,Uknown,22000
LA,Louisiana,South,Louisiana,22,0,2006,2006,Unemployment,23,"56,650","1,489,663"," 3,803 ",Uknown,Uknown,Uknown,22000
LA,Louisiana,South,Louisiana,22,0,2007,2007,Unemployment,23,"76,316","2,010,661"," 3,796 ",Uknown,Uknown,Uknown,22000
LA,Louisiana,South,Louisiana,22,0,2008,2008,Unemployment,23,"90,878","2,055,691"," 4,421 ",Uknown,Uknown,2010,22000
LA,Louisiana,South,Louisiana,22,0,2009,2009,Unemployment,23,"136,415","2,051,391"," 6,650 ",Uknown,Uknown,2011,22000
LA,Louisiana,South,Louisiana,22,0,2010,2010,Unemployment,23,"154,729","2,070,078"," 7,475 ",Uknown,Uknown,2012,22000
LA,Louisiana,South,Louisiana,22,0,2011,2011,Unemployment,23,"151,336","2,060,645"," 7,344 ",Uknown,Uknown,2013,22000
